"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"153","ak","10839945","1","Wednesday, November  6, 2013 15:40:13 UTC",62.8524,-150.6393,1.6,14.9,9,"Central Alaska"
"154","nn","00428521","1","Wednesday, November  6, 2013 15:23:49 UTC",38.6147,-119.1635,1.5,12.5,14,"Nevada"
"155","nc","72102201","1","Wednesday, November  6, 2013 15:17:39 UTC",40.2942,-124.4545,2.1,19.3,11,"offshore Northern California"
"156","hv","60587846","1","Wednesday, November  6, 2013 15:11:21 UTC",19.1367,-155.4288,2.2,40,11,"Island of Hawaii, Hawaii"
"157","nc","72102186","0","Wednesday, November  6, 2013 15:11:21 UTC",36.5598,-121.1597,1.5,5,6,"Central California"
"158","pr","13310006","0","Wednesday, November  6, 2013 14:55:21 UTC",18.5375,-67.4489,2.6,18,7,"Puerto Rico region"
"159","ak","10839926","2","Wednesday, November  6, 2013 14:36:23 UTC",60.042,-152.9876,2.3,105.1,31,"Southern Alaska"
"160","nc","72102156","1","Wednesday, November  6, 2013 14:23:42 UTC",38.8035,-122.8105,2.4,0.7,50,"Northern California"
"161","nc","72102151","0","Wednesday, November  6, 2013 14:18:05 UTC",37.536,-121.3083,2.4,12.7,8,"Northern California"
"162","ci","11388322","2","Wednesday, November  6, 2013 14:14:32 UTC",34.5087,-118.8755,2.4,0,26,"Southern California"
"163","ak","10839910","1","Wednesday, November  6, 2013 14:13:03 UTC",62.4628,-149.8711,2.3,57.6,41,"Central Alaska"
"164","ci","11388314","2","Wednesday, November  6, 2013 13:54:57 UTC",33.2458,-116.253,1.2,10.3,26,"Southern California"
"165","hv","60587821","2","Wednesday, November  6, 2013 13:47:00 UTC",19.3617,-155.0792,2.2,6,61,"Island of Hawaii, Hawaii"
"166","ci","11388306","2","Wednesday, November  6, 2013 13:38:24 UTC",33.2397,-115.686,1.1,0.2,12,"Southern California"
"167","ak","10839895","1","Wednesday, November  6, 2013 13:29:32 UTC",63.0923,-149.2273,1.3,76.8,10,"Central Alaska"
"168","nc","72102131","5","Wednesday, November  6, 2013 13:26:07 UTC",36.1967,-120.7623,2.9,8.5,104,"Central California"
"169","nn","00428507","1","Wednesday, November  6, 2013 13:14:49 UTC",36.1524,-115.3969,1.2,10.2,12,"Nevada"
"170","nn","00428505","1","Wednesday, November  6, 2013 12:27:16 UTC",38.2698,-118.4029,1.1,4,4,"Nevada"
"171","ci","11388266","2","Wednesday, November  6, 2013 12:23:20 UTC",32.9835,-116.3487,1.4,11.7,30,"Southern California"
