Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10837965,2,"Tuesday, November  5, 2013 15:14:38 UTC",67.5655,-149.9681,2.6,5.40,24,"northern Alaska"
ci,11387906,5,"Tuesday, November  5, 2013 15:05:12 UTC",34.3112,-116.9688,1.5,7.60,56,"Southern California"
ak,10840935,2,"Tuesday, November  5, 2013 15:01:14 UTC",65.9598,-150.1547,1.4,8.30,12,"northern Alaska"
uw,60623767,3,"Tuesday, November  5, 2013 14:52:46 UTC",48.0242,-124.6778,2.4,42.10,25,"Olympic Peninsula, Washington"
pr,13309007,0,"Tuesday, November  5, 2013 14:49:17 UTC",18.2101,-68.0550,3.3,103.00,12,"Mona Passage, Dominican Republic"
ak,10840934,2,"Tuesday, November  5, 2013 14:42:30 UTC",62.2746,-152.0518,1.6,107.00,13,"Central Alaska"
nc,72101571,0,"Tuesday, November  5, 2013 14:37:16 UTC",38.8152,-122.8157,1.2,2.80,21,"Northern California"
ak,10837949,2,"Tuesday, November  5, 2013 14:29:16 UTC",69.1201,-144.2136,3.0,5.70,29,"northern Alaska"
ak,10837947,3,"Tuesday, November  5, 2013 14:27:00 UTC",67.5609,-149.9770,2.9,7.10,31,"northern Alaska"
pr,13309006,0,"Tuesday, November  5, 2013 13:55:32 UTC",18.8022,-66.4134,2.8,47.00, 4,"Puerto Rico region"
ak,10837940,2,"Tuesday, November  5, 2013 13:51:57 UTC",60.1085,-152.7121,2.2,98.70,38,"Southern Alaska"
hv,60587281,1,"Tuesday, November  5, 2013 13:45:57 UTC",19.0935,-155.4095,2.6,38.60,43,"Island of Hawaii, Hawaii"
hv,60587256,1,"Tuesday, November  5, 2013 13:37:43 UTC",19.0718,-155.4700,2.7,41.90,38,"Island of Hawaii, Hawaii"
hv,60587251,1,"Tuesday, November  5, 2013 13:36:32 UTC",19.0572,-155.4622,2.0,40.30,35,"Island of Hawaii, Hawaii"
ak,10837933,2,"Tuesday, November  5, 2013 13:16:54 UTC",63.2798,-150.5663,1.8,128.30,31,"Central Alaska"
ak,10837929,2,"Tuesday, November  5, 2013 12:53:19 UTC",61.8617,-150.5922,1.5,46.80,26,"Southern Alaska"
mb,29503,1,"Tuesday, November  5, 2013 12:46:11 UTC",46.7223,-112.1890,1.1,13.50, 8,"western Montana"
ak,10840928,2,"Tuesday, November  5, 2013 12:28:18 UTC",61.7985,-151.9547,1.7,112.80,17,"Southern Alaska"
pr,13309005,0,"Tuesday, November  5, 2013 12:21:15 UTC",18.0732,-67.4050,2.9,137.00, 4,"Mona Passage, Puerto Rico"
ak,10837923,2,"Tuesday, November  5, 2013 11:52:56 UTC",63.9274,-148.8973,1.6,0.00,26,"Central Alaska"
pr,13309010,0,"Tuesday, November  5, 2013 11:50:04 UTC",18.0279,-68.4814,3.2,81.00, 9,"Dominican Republic region"
ci,11387882,4,"Tuesday, November  5, 2013 11:48:03 UTC",34.0430,-118.2512,1.2,3.20,23,"Greater Los Angeles area, California"
ci,11387874,2,"Tuesday, November  5, 2013 11:24:30 UTC",35.0570,-118.3525,1.2,4.70,13,"Southern California"
ak,10840926,2,"Tuesday, November  5, 2013 11:12:44 UTC",56.8809,-154.6594,2.3,14.60,11,"Kodiak Island region, Alaska"
ak,10837919,2,"Tuesday, November  5, 2013 11:06:55 UTC",63.1084,-149.3101,1.2,12.00,19,"Central Alaska"
ak,10840924,2,"Tuesday, November  5, 2013 11:02:18 UTC",59.7993,-150.7978,1.5,55.00, 9,"Kenai Peninsula, Alaska"
nc,72101496,2,"Tuesday, November  5, 2013 10:58:07 UTC",41.2102,-122.1130,1.7,6.20,18,"Northern California"
nc,72101491,0,"Tuesday, November  5, 2013 10:50:53 UTC",36.5607,-121.1535,1.7,3.50,14,"Central California"
mb,29502,1,"Tuesday, November  5, 2013 10:49:36 UTC",44.8325,-111.4710,1.1,9.50, 8,"western Montana"
nc,72101486,0,"Tuesday, November  5, 2013 10:42:49 UTC",38.8093,-122.8228,1.0,2.20,14,"Northern California"
hv,60587166,2,"Tuesday, November  5, 2013 10:38:42 UTC",19.4028,-155.2838,1.8,0.80,34,"Island of Hawaii, Hawaii"
ak,10837911,2,"Tuesday, November  5, 2013 10:06:05 UTC",53.9238,-165.6851,2.4,74.00,14,"Fox Islands, Aleutian Islands, Alaska"
nc,72101471,1,"Tuesday, November  5, 2013 09:52:16 UTC",38.8077,-122.8138,1.2,2.70,27,"Northern California"
nc,72101466,0,"Tuesday, November  5, 2013 09:48:42 UTC",36.9728,-121.8342,1.4,15.10, 7,"Northern California"
nc,72101456,0,"Tuesday, November  5, 2013 09:32:33 UTC",38.7463,-122.7008,1.1,1.70, 8,"Northern California"
pr,13309009,0,"Tuesday, November  5, 2013 09:24:06 UTC",18.0526,-67.0501,1.0,23.00, 3,"Puerto Rico"
nc,72101446,0,"Tuesday, November  5, 2013 09:19:24 UTC",38.8347,-122.7945,1.6,1.50,13,"Northern California"
ak,10837896,2,"Tuesday, November  5, 2013 09:12:52 UTC",63.3387,-145.4502,2.6,6.30,53,"Central Alaska"
ak,10840921,2,"Tuesday, November  5, 2013 09:09:16 UTC",63.1965,-150.7575,1.4,126.00,13,"Central Alaska"
ak,10840920,2,"Tuesday, November  5, 2013 09:08:52 UTC",63.2766,-149.6390,1.2,93.50,13,"Central Alaska"
ak,10840919,2,"Tuesday, November  5, 2013 08:51:56 UTC",60.1316,-152.8927,1.6,108.80,16,"Southern Alaska"
pr,13309008,0,"Tuesday, November  5, 2013 08:46:18 UTC",17.8651,-67.1744,1.7,4.00, 3,"Puerto Rico region"
ak,10840918,2,"Tuesday, November  5, 2013 08:10:53 UTC",60.1211,-153.0865,1.6,118.70,16,"Southern Alaska"
ak,10840917,2,"Tuesday, November  5, 2013 07:44:29 UTC",55.6857,-157.5263,2.8,39.10,12,"Alaska Peninsula"
nc,72101421,0,"Tuesday, November  5, 2013 07:43:26 UTC",36.5665,-121.1615,1.7,4.00,13,"Central California"
uu,60043697,4,"Tuesday, November  5, 2013 07:14:40 UTC",44.7068,-110.9968,2.0,10.80,23,"Yellowstone National Park, Wyoming"
nn,00428410,1,"Tuesday, November  5, 2013 06:52:54 UTC",36.9598,-117.7775,1.0,7.00, 7,"Central California"
pr,13309004,0,"Tuesday, November  5, 2013 06:38:30 UTC",19.0335,-64.8629,2.5,6.00, 3,"Virgin Islands region"
pr,13309003,0,"Tuesday, November  5, 2013 06:36:32 UTC",19.0932,-64.8255,2.9,29.00, 6,"Virgin Islands region"
nc,72101401,0,"Tuesday, November  5, 2013 06:30:27 UTC",38.8093,-122.8213,1.1,2.30,20,"Northern California"
ci,11387770,5,"Tuesday, November  5, 2013 06:16:16 UTC",34.2473,-117.4773,1.6,13.30,64,"Southern California"
ci,11387690,5,"Tuesday, November  5, 2013 05:58:37 UTC",32.9315,-115.5307,2.1,10.40,31,"Southern California"
ak,10837876,2,"Tuesday, November  5, 2013 05:49:48 UTC",62.1794,-148.2531,1.8,30.30,31,"Central Alaska"
ak,10840915,2,"Tuesday, November  5, 2013 05:41:34 UTC",59.8582,-153.2916,2.2,118.50,21,"Southern Alaska"
